Country,Year,Share below $3 a day
Albania,1996,2.9678411
Albania,2002,4.194722
Albania,2005,2.6502175
Albania,2008,0.8273079
Albania,2012,1.7945902
Albania,2014,3.6761396
Albania,2015,1.1148642
Albania,2016,1.1406198
Albania,2017,1.4444441
Albania,2018,1.0100294
Albania,2019,0.27236944
Albania,2020,0.34092245
Algeria,1988,12.2630005
Algeria,1995,11.807
Algeria,2011,0
Angola,2000,26.95464
Angola,2008,22.079582
Angola,2018,39.294704
Argentina (urban),1980,0
Argentina (urban),1986,1.2647202
Argentina (urban),1987,1.4871476
Argentina (urban),1991,1.2815984
Argentina (urban),1992,2.4939559
Argentina (urban),1993,2.912502
Argentina (urban),1994,2.7062604
Argentina (urban),1995,5.119365
Argentina (urban),1996,5.41143
Argentina (urban),1997,5.2120194
Argentina (urban),1998,5.660222
Argentina (urban),1999,5.9064207
Argentina (urban),2000,7.345725
Argentina (urban),2001,10.725481
Argentina (urban),2002,17.05804
Argentina (urban),2003,8.187361
Argentina (urban),2004,6.0202084
Argentina (urban),2005,4.4246016
Argentina (urban),2006,3.4641247
Argentina (urban),2007,2.758885
Argentina (urban),2008,2.6231124
Argentina (urban),2009,2.4477217
Argentina (urban),2010,1.5344403
Argentina (urban),2011,1.2077631
Argentina (urban),2012,1.2695837
Argentina (urban),2013,1.0892079
Argentina (urban),2014,1.0590506
Argentina (urban),2016,1.269002
Argentina (urban),2017,1.1142496
Argentina (urban),2018,1.6383039
Argentina (urban),2019,1.6846492
Argentina (urban),2020,2.1969552
Argentina (urban),2021,1.3630346
Argentina (urban),2022,1.294458
Argentina (urban),2023,1.1574727
Argentina (urban),2024,0.96368045
Armenia,1999,21.169123
Armenia,2001,24.141233
Armenia,2002,19.766228
Armenia,2003,14.845049
Armenia,2004,10.347973
Armenia,2005,6.11446
Armenia,2006,4.5136204
Armenia,2007,3.69028
Armenia,2008,2.0055044
Armenia,2009,3.1141958
Armenia,2010,2.9445043
Armenia,2011,3.1296055
Armenia,2012,2.498793
Armenia,2013,2.9467812
Armenia,2014,3.4375873
Armenia,2015,2.8523972
Armenia,2016,2.515995
Armenia,2017,2.3624778
Armenia,2018,2.8966322
Armenia,2019,2.4278004
Armenia,2020,1.5165919
Armenia,2021,2.1180894
Armenia,2022,1.8968815
Armenia,2023,1.9280258
Australia,1981,0.9935031
Australia,1985,1.0013098
Australia,1989,0.744275
Australia,1995,0.99273145
Australia,2001,0.99206495
Australia,2003,0.9973307
Australia,2004,0.7125372
Australia,2008,0.66945297
Australia,2010,0.34916842
Australia,2014,0.4984838
Australia,2016,0.49874178
Australia,2018,0.49709398
Australia,2020,0.9892079
Austria,1994,0.23091485
Austria,1995,0
Austria,1996,0
Austria,1997,0.24598348
Austria,1998,0.23944513
Austria,1999,0.22600505
Austria,2000,0.24463199
Austria,2003,0.3732266
Austria,2004,0.08165289
Austria,2005,0.1536901
Austria,2006,0.14532717
Austria,2007,0.38142115
Austria,2008,0.50910014
Austria,2009,0.6884822
Austria,2010,0.5196234
Austria,2011,0.47682175
Austria,2012,0.67151517
Austria,2013,0.33799785
Austria,2014,0.22426021
Austria,2015,0.6846073
Austria,2016,0.6640636
Austria,2017,0.34972978
Austria,2018,0.56835836
Austria,2019,0.6466445
Austria,2020,0.7386065
Austria,2021,0.4858222
Austria,2022,0.6439738
Austria,2023,0.5282233
Azerbaijan,1995,19.654922
Azerbaijan,2001,11.398012
Azerbaijan,2002,0.24240217
Azerbaijan,2003,0.24874774
Azerbaijan,2004,0.046829686
Azerbaijan,2005,0
Bangladesh,1983,47.145
Bangladesh,1985,41.408
Bangladesh,1988,51.107002
Bangladesh,1991,51.207848
Bangladesh,1995,43.390747
Bangladesh,2000,41.37349
Bangladesh,2005,32.316326
Bangladesh,2010,25.11859
Bangladesh,2016,19.511166
Bangladesh,2022,5.9090796
Barbados,2016,1.6773976
Belarus,1998,38.24705
Belarus,1999,33.74537
Belarus,2000,26.505249
Belarus,2001,14.7239895
Belarus,2002,10.437627
Belarus,2003,8.68017
Belarus,2004,4.2629695
Belarus,2005,2.4400222
Belarus,2006,1.0611135
Belarus,2007,1.0624937
Belarus,2008,0.5179286
Belarus,2009,0.54016185
Belarus,2010,0.17213307
Belarus,2011,0.054681323
Belarus,2012,0.08120498
Belarus,2013,0.022473456
Belarus,2014,0
Belarus,2015,0
Belarus,2016,0
Belarus,2017,0.027521607
Belarus,2018,0.022012189
